treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
WPL-2ø608PN25-533,2025,Tifton,608PN,608PN25,FALSE,5/15/2025,10/7/2025,201,1143,WPL-2,,5,533,11.52536313,-9,-9,-9,-9,,-9,4184,,-9,-9,-9,-9,-9,5,M,Runner,20,6,363,4,1,,
Baileyø507PN15-212,2015,Midville,507PN,507PN15,TRUE,,9/22/2015,110,,Bailey,,2,212,11.52555556,,,-9,,,-9,4184,7,,,,,,4,M-,Virginia,20,6,363,,,,
Wynneø508PN21-621,2021,Midville,508PN,508PN21,FALSE,,9/24/2021,,,Wynne,,6,621,11.53,,,-9,,101,449.1013564,4185,,72,2,1,48,,4,M-,Virginia,20,6,363,,,,
Wynneø508PN21-621,2021,Midville,508PN,508PN21,FALSE,,9/24/2021,,,Wynne,,6,621,11.53,,,-9,,101,449.1013564,4185,,,,,,,4,M-,Virginia,20,6,363,,,,
GA 142510ø607PN20-124,2020,Tifton,607PN,607PN20,TRUE,,,,,GA 142510,,1,124,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
GA 142510ø608PN20-427,2020,Tifton,608PN,608PN20,FALSE,,,,,GA 142510,,4,427,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia Greenerø607PN20-504,2020,Tifton,607PN,607PN20,TRUE,,,,,Georgia Greener,,5,504,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
Georgia Greenerø607PN20-607,2020,Tifton,607PN,607PN20,TRUE,,,,,Georgia Greener,,6,607,11.54,,783,-9,,57.9,783.4065112,4189,,73,5,1,0,,5,M,Runner,20,6,363,,,,
Georgia-07Wø608PN20-218,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-07W,,2,218,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-07Wø608PN20-502,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-07W,,5,502,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-11Jø607PN20-516,2020,Tifton,607PN,607PN20,TRUE,,,,,Georgia-11J,,5,516,11.54,,,-9,,,-9,4189,,,,,,,7,ML,Virginia,20,6,363,,,,
Georgia-11Jø608PN20-222,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-11J,,2,222,11.54,,,-9,,,-9,4189,,,,,,,7,ML,Virginia,20,6,363,,,,
Georgia-12Yø607PN20-515,2020,Tifton,607PN,607PN20,TRUE,,,,,Georgia-12Y,,5,515,11.54,,,-9,,,-9,4189,,,,,,,7,ML,Runner,20,6,363,,,,
